Date, Time UTC +02:00;Day-ahead Price (EUR/MWh)
30-10-2023, 00 - 01; 18.56 
30-10-2023, 01 - 02; 12.58 
30-10-2023, 02 - 03; 11.85 
30-10-2023, 03 - 04; 11.56 
30-10-2023, 04 - 05; 17.31 
30-10-2023, 05 - 06; 37.44 
30-10-2023, 06 - 07; 77.65 
30-10-2023, 07 - 08; 77.14 
30-10-2023, 08 - 09; 111.00 
30-10-2023, 09 - 10; 103.00 
30-10-2023, 10 - 11; 90.00 
30-10-2023, 11 - 12; 96.17 
30-10-2023, 12 - 13; 102.54 
30-10-2023, 13 - 14; 114.62 
30-10-2023, 14 - 15; 123.98 
30-10-2023, 15 - 16; 129.92 
30-10-2023, 16 - 17; 129.96 
30-10-2023, 17 - 18; 129.98 
30-10-2023, 18 - 19; 129.91 
30-10-2023, 19 - 20; 86.53 
30-10-2023, 20 - 21; 62.05 
30-10-2023, 21 - 22; 45.98 
30-10-2023, 22 - 23; 34.26 
30-10-2023, 23 - 00; 27.92 
31-10-2023, 00 - 01; 29.57 
31-10-2023, 01 - 02; 29.61 
31-10-2023, 02 - 03; 29.88 
31-10-2023, 03 - 04; 30.51 
31-10-2023, 04 - 05; 29.96 
31-10-2023, 05 - 06; 34.41 
31-10-2023, 06 - 07; 79.92 
31-10-2023, 07 - 08; 104.06 
31-10-2023, 08 - 09; 104.67 
31-10-2023, 09 - 10; 97.38 
31-10-2023, 10 - 11; 90.12 
31-10-2023, 11 - 12; 98.79 
31-10-2023, 12 - 13; 98.35 
31-10-2023, 13 - 14; 94.13 
31-10-2023, 14 - 15; 60.46 
31-10-2023, 15 - 16; 48.90 
31-10-2023, 16 - 17; 40.84 
31-10-2023, 17 - 18; 26.86 
31-10-2023, 18 - 19; 24.99 
31-10-2023, 19 - 20; 22.15 
31-10-2023, 20 - 21; 19.77 
31-10-2023, 21 - 22; 17.71 
31-10-2023, 22 - 23; 13.33 
31-10-2023, 23 - 00; 9.93 
01-11-2023, 00 - 01; 2.22 
01-11-2023, 01 - 02; 0.67 
01-11-2023, 02 - 03; 0.01 
01-11-2023, 03 - 04; 0.01 
01-11-2023, 04 - 05; 1.76 
01-11-2023, 05 - 06; 15.08 
01-11-2023, 06 - 07; 16.19 
01-11-2023, 07 - 08; 17.17 
01-11-2023, 08 - 09; 18.81 
01-11-2023, 09 - 10; 18.99 
01-11-2023, 10 - 11; 19.16 
